Logged started on,27/07/2020 15:41:51
Feature,Gyroscope
Nodes,AM1V310 @394D30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
27/07/2020 15:50:25.062,513239,AM1V310 @394D30,74511,6AFF3700B4FF,-15,5.5,-7.6
27/07/2020 15:50:25.081,513247,AM1V310 @394D30,74517,C5FF3D002CFF,-5.9,6.1,-21.2
27/07/2020 15:50:25.121,513287,AM1V310 @394D30,74523,0DFFD40032FE,-24.3,21.2,-46.2
27/07/2020 15:50:25.181,513347,AM1V310 @394D30,74529,C5FC2202ABFC,-82.7,54.6,-85.3
27/07/2020 15:50:25.210,513376,AM1V310 @394D30,74536,7401FC00FEFB,37.2,25.2,-102.6
27/07/2020 15:50:25.271,513437,AM1V310 @394D30,74542,FB04E603DCFA,127.5,99.8,-131.6
27/07/2020 15:50:25.332,513497,AM1V310 @394D30,74548,E2FF5704AFFC,-3,111.1,-84.9
27/07/2020 15:50:25.361,513527,AM1V310 @394D30,74554,FBFA6303E103,-128.5,86.7,99.3
27/07/2020 15:50:25.421,513586,AM1V310 @394D30,74561,D30281FF1108,72.3,-12.7,206.5
27/07/2020 15:50:25.481,513646,AM1V310 @394D30,74567,9AF9A5FEEB0C,-163.8,-34.7,330.7
27/07/2020 15:50:25.510,513676,AM1V310 @394D30,74573,EC03A9FC6B0C,100.4,-85.5,317.9
27/07/2020 15:50:25.571,513737,AM1V310 @394D30,74579,8200BBFD4D0F,13,-58.1,391.7
27/07/2020 15:50:25.631,513797,AM1V310 @394D30,74586,89FD87FD900A,-63.1,-63.3,270.4
27/07/2020 15:50:25.660,513826,AM1V310 @394D30,74592,39FFD901A700,-19.9,47.3,16.7
27/07/2020 15:50:25.720,513886,AM1V310 @394D30,74598,F7066400D8FE,178.3,10,-29.6
27/07/2020 15:50:25.781,513947,AM1V310 @394D30,74604,AE0591FF9EFE,145.4,-11.1,-35.4
27/07/2020 15:50:25.810,513976,AM1V310 @394D30,74611,24001CFF5CFE,3.6,-22.8,-42
27/07/2020 15:50:25.901,514067,AM1V310 @394D30,74617,D2000BFF0CFC,21,-24.5,-101.2
27/07/2020 15:50:25.931,514097,AM1V310 @394D30,74623,41FFCAFE7EF8,-19.1,-31,-192.2
27/07/2020 15:50:25.991,514157,AM1V310 @394D30,74629,1AFBD9FF02F3,-125.4,-3.9,-332.6
27/07/2020 15:50:26.051,514217,AM1V310 @394D30,74636,EB02CEFE73F6,74.7,-30.6,-244.5
27/07/2020 15:50:26.080,514246,AM1V310 @394D30,74642,43061DFF5FF8,160.3,-22.7,-195.3
27/07/2020 15:50:26.111,514277,AM1V310 @394D30,74648,4500C8FECEFB,6.9,-31.2,-107.4
27/07/2020 15:50:26.171,514337,AM1V310 @394D30,74654,BFFFFBFD42FD,-6.5,-51.7,-70.2
27/07/2020 15:50:26.230,514396,AM1V310 @394D30,74661,6CFFF1FD7EFE,-14.8,-52.7,-38.6
27/07/2020 15:50:26.260,514426,AM1V310 @394D30,74667,B9FF40FE0DFF,-7.1,-44.8,-24.3
27/07/2020 15:50:26.320,514486,AM1V310 @394D30,74673,0E01C6FECFFF,27,-31.4,-4.9
27/07/2020 15:50:26.380,514546,AM1V310 @394D30,74679,33FFC8FEEBFF,-20.5,-31.2,-2.1
27/07/2020 15:50:26.410,514576,AM1V310 @394D30,74686,5BFF35FEBAFF,-16.5,-45.9,-7
27/07/2020 15:50:26.560,514726,AM1V310 @394D30,74692,9500470082FF,14.9,7.1,-12.6
27/07/2020 15:50:26.591,514757,AM1V310 @394D30,74698,6700FCFF51FF,10.3,-0.4,-17.5
27/07/2020 15:50:26.591,514757,AM1V310 @394D30,74704,C200D2FF5BFF,19.4,-4.6,-16.5
27/07/2020 15:50:26.620,514786,AM1V310 @394D30,74711,B600C3FF8AFF,18.2,-6.1,-11.8
27/07/2020 15:50:26.680,514846,AM1V310 @394D30,74717,B200DCFFA5FF,17.8,-3.6,-9.1
27/07/2020 15:50:26.710,514876,AM1V310 @394D30,74723,CB01BAFF72FF,45.9,-7,-14.2
27/07/2020 15:50:26.770,514936,AM1V310 @394D30,74729,C000760093FF,19.2,11.8,-10.9
27/07/2020 15:50:26.831,514996,AM1V310 @394D30,74736,C001E2FF82FF,44.8,-3,-12.6
27/07/2020 15:50:26.860,515026,AM1V310 @394D30,74742,2C001C00BAFF,4.4,2.8,-7
27/07/2020 15:50:26.950,515116,AM1V310 @394D30,74748,7300D3FFCFFF,11.5,-4.5,-4.9
27/07/2020 15:50:26.980,515146,AM1V310 @394D30,74754,270090FFD3FF,3.9,-11.2,-4.5
27/07/2020 15:50:27.010,515176,AM1V310 @394D30,74761,E9FF9EFFF8FF,-2.3,-9.8,-0.8
27/07/2020 15:50:27.071,515236,AM1V310 @394D30,74767,10009DFFFBFF,1.6,-9.9,-0.5
27/07/2020 15:50:27.131,515297,AM1V310 @394D30,74773,1900A8FF0700,2.5,-8.8,0.7
27/07/2020 15:50:27.161,515326,AM1V310 @394D30,74779,4A00C7FF0700,7.4,-5.7,0.7
27/07/2020 15:50:27.221,515386,AM1V310 @394D30,74786,3E00F7FFFAFF,6.2,-0.9,-0.6
27/07/2020 15:50:27.281,515447,AM1V310 @394D30,74792,3E000700FAFF,6.2,0.7,-0.6
27/07/2020 15:50:27.310,515476,AM1V310 @394D30,74798,F9FFE5FF1500,-0.7,-2.7,2.1
27/07/2020 15:50:27.371,515537,AM1V310 @394D30,74804,1700BAFF0000,2.3,-7,0
27/07/2020 15:50:27.430,515596,AM1V310 @394D30,74811,2000C1FFFEFF,3.2,-6.3,-0.2
27/07/2020 15:50:27.460,515626,AM1V310 @394D30,74817,4300D5FF1300,6.7,-4.3,1.9
